SampleNo	Depth	Age	SAND	VERY_COARSE_SILT	COARSE_SILT	MEDIUM_SILT	FINE_SILT	VERY_FINE_SILT	CLAY
2785	446.64	-1363.183	0.216714209946629	0.197983706617836	0.187281503887182	0.137860203658861	0.0964297751609502	0.0664021842013847	0.0973284165271572
2781	446	-1361.605	0.264527884874258	0.132364065030694	0.175217623055677	0.149395949855811	0.1172937375596	0.075753844822477	0.0854468948014832
2777	445.36	-1359.932	0.195528268538321	0.140127368019939	0.1709411340053	0.153044953267682	0.12633655127211	0.0946771684169839	0.119344556479664
2773	444.72	-1358.275	0.225567961955532	0.16459028961897	0.178905022288165	0.154120977098661	0.117013704216911	0.0719968818281872	0.0878051629935742
2769	444.08	-1356.5265	0.0886115794657943	0.12681808482584	0.182758452211495	0.188852431816736	0.16260493269101	0.113114767951073	0.137239751038052
2765	443.44	-1354.813	0.139020159117166	0.121267606972766	0.163734661397953	0.170941930732141	0.153719804488132	0.109680182019276	0.141635655272566
2761	442.8	-1353.246	0.246364600993884	0.123601854244092	0.146465742989913	0.143245591025266	0.132688116588948	0.0924180280926099	0.115216066065288
2757	442.16	-1351.6455	0.130654706743665	0.132940662438639	0.160805998350163	0.17320050749008	0.161525072666156	0.10958324058867	0.131289811722627
2753	441.52	-1349.9235	0.112864591952675	0.12012599167458	0.155141850785507	0.1795586759625	0.173311309864284	0.118942458976235	0.14005512078422
2749	440.88	-1348.2045	0.0921538133571637	0.11415348710162	0.14850108300602	0.18287281758955	0.180767180470127	0.125619518077427	0.155932100398091
2745	440.24	-1346.4535	0.0670222895690944	0.0926935934296391	0.152875336576322	0.204968244493073	0.195233561442742	0.131276998634215	0.155929975854915
2741	439.6	-1344.672	0.0423114498947368	0.0924379138855481	0.186791584306744	0.234212181125284	0.188627719523679	0.114529814993309	0.141089336270699
2737	438.96	-1341.943	0.0748167898072183	0.231515009138484	0.285690449620864	0.191491994596055	0.0947474265823497	0.0470790143529148	0.0746593159021148
2733	438.37	-1339.461	0.0903294962262446	0.275336382791879	0.2848480753722	0.160720311975037	0.0752422944969871	0.0401347719898332	0.0733886671478193
2729	437.73	-1332.2015	0.302627636380542	0.332090395077997	0.171919576254637	0.0849403725148505	0.0430550656548799	0.0233316413773447	0.0420353127397487
2725	437.04	-1323.923	0.0443640892206308	0.0702117319075531	0.178268627641841	0.234576750299553	0.186334066899545	0.120755880319292	0.165488853711584
2721	436.4	-1321.542	0.104313271913816	0.137150428953263	0.187262498777932	0.186881541485191	0.154142765468345	0.101701331679742	0.128548161721711
2717	435.76	-1319.398	0.108994826300945	0.186451233769013	0.24830683292454	0.180964627979978	0.110596862671244	0.0673864485743368	0.0972991677799428
