Depth	Age	Lakewater
0.01	0	-4.06
0.03	-0.027	-3.85
0.05	-0.055	-3.83
0.07	-0.082	-3.82
0.09	-0.109	-3.86
0.11	-0.137	-3.93
0.13	-0.164	-3.72
0.15	-0.192	-3.82
0.17	-0.22	-3.86
0.19	-0.247	-3.86
0.21	-0.275	-3.9
0.23	-0.303	-4.15
0.25	-0.33	-4.27
0.27	-0.358	-4.03
0.29	-0.386	-4.16
0.31	-0.414	-3.85
0.33	-0.442	-3.72
0.35	-0.47	-3.79
0.37	-0.497	-3.77
0.39	-0.525	-3.66
0.41	-0.553	-3.78
0.43	-0.58	-3.7
0.45	-0.608	-3.73
0.47	-0.636	-3.83
0.49	-0.663	-3.61
0.51	-0.69	-3.52
0.53	-0.717	-3.61
0.55	-0.744	-3.55
0.57	-0.771	-3.93
0.59	-0.798	-3.81
0.61	-0.825	-3.56
0.63	-0.851	-3.72
0.65	-0.878	-3.84
0.67	-0.904	-3.69
0.69	-0.929	-3.84
0.71	-0.955	-3.65
0.73	-0.981	-3.7
0.75	-1.006	-3.82
0.77	-1.031	-3.65
0.79	-1.056	-3.7
0.81	-1.08	-3.84
0.83	-1.104	-3.83
0.85	-1.128	-3.66
0.87	-1.152	-3.82
0.89	-1.175	-3.72
0.91	-1.198	-3.79
0.93	-1.221	-3.92
0.95	-1.243	-3.78
0.97	-1.265	-3.99
0.99	-1.287	-4
1.01	-1.308	-3.97
1.03	-1.329	-4.1
1.05	-1.349	-4.05
1.07	-1.369	-3.95
1.09	-1.389	-4.01
1.11	-1.408	-3.97
1.13	-1.427	-4
1.15	-1.446	-4.04
1.17	-1.464	-4.04
1.19	-1.481	-4.12
1.23	-1.515	-3.96
1.25	-1.531	-4.1
1.27	-1.546	-4.16
1.29	-1.561	-4.17
1.31	-1.576	-4.07
1.33	-1.59	-4.15
1.35	-1.604	-4.07
1.37	-1.618	-4.23
1.39	-1.631	-4.29
1.41	-1.643	-4.28
1.43	-1.656	-4.17
1.45	-1.668	-4.41
1.47	-1.68	-4.8
1.49	-1.692	-4.66
1.51	-1.703	-4.19
1.53	-1.714	-4.06
1.55	-1.725	-3.99
1.57	-1.736	-4.15
1.59	-1.747	-4.14
1.61	-1.757	-4.15
1.63	-1.768	-4.38
1.65	-1.778	-4.08
1.67	-1.788	-4.02
1.69	-1.798	-4.04
1.71	-1.808	-4.15
1.73	-1.818	-4.1
1.75	-1.828	-4.11
1.77	-1.838	-3.97
1.79	-1.848	-4.01
1.81	-1.858	-4.16
1.83	-1.868	-4.12
1.85	-1.878	-4.47
1.87	-1.888	-4.17
1.89	-1.898	-4.28
1.91	-1.909	-4.15
1.93	-1.919	-4.21
1.95	-1.93	-4
1.97	-1.941	-4.25
1.99	-1.952	-4.19
2	-1.957	-4.16
2.02	-1.969	-3.98
2.04	-1.981	-3.51
2.06	-1.992	-4.08
2.08	-2.005	-4.07
2.1	-2.017	-3.91
2.13	-2.036	-4.24
2.15	-2.05	-4.4
2.17	-2.063	-4.13
2.19	-2.077	-4.09
2.21	-2.092	-3.96
2.23	-2.107	-4
2.25	-2.122	-4.1
2.27	-2.138	-4.21
2.29	-2.154	-4.1
2.31	-2.171	-4.1
2.33	-2.188	-4.23
2.35	-2.206	-4.38
2.37	-2.224	-4.16
2.39	-2.243	-4.32
2.41	-2.263	-4.55
2.43	-2.283	-4.41
2.45	-2.303	-4.33
2.47	-2.324	-4.54
2.49	-2.346	-4.51
2.51	-2.369	-4.44
2.53	-2.392	-4.54
2.55	-2.416	-4.5
2.57	-2.44	-4.32
2.59	-2.465	-4.38
2.61	-2.491	-4.36
2.63	-2.517	-4.27
2.65	-2.544	-4.21
2.67	-2.572	-4.12
2.69	-2.6	-4.15
2.71	-2.629	-4.18
2.73	-2.658	-4.17
2.75	-2.689	-4.12
2.77	-2.72	-4.17
2.79	-2.752	-4.3
2.81	-2.784	-4.4
2.83	-2.817	-4.58
2.85	-2.851	-4.62
2.87	-2.885	-4.61
2.89	-2.921	-4.62
2.91	-2.957	-4.64
2.93	-2.993	-4.63
2.95	-3.031	-4.6
2.97	-3.069	-4.54
2.99	-3.108	-4.66
3.01	-3.148	-4.69
3.03	-3.188	-4.71
3.05	-3.229	-4.7
3.07	-3.271	-4.83
3.09	-3.314	-4.65
3.11	-3.358	-4.62
3.13	-3.402	-4.67
3.15	-3.447	-4.56
3.17	-3.493	-4.44
3.19	-3.54	-4.44
3.21	-3.587	-4.51
3.23	-3.635	-4.56
3.25	-3.684	-4.53
3.27	-3.734	-4.51
3.29	-3.785	-4.51
3.31	-3.837	-4.58
3.33	-3.889	-4.56
3.35	-3.943	-4.47
3.37	-3.999	-4.54
3.39	-4.055	-4.63
3.41	-4.113	-4.61
3.45	-4.232	-4.66
3.47	-4.294	-4.64
3.49	-4.357	-4.5
3.51	-4.421	-4.62
3.53	-4.487	-4.62
3.55	-4.554	-4.71
3.57	-4.622	-4.71
3.59	-4.692	-4.8
3.61	-4.764	-4.6
3.63	-4.837	-4.54
3.65	-4.911	-4.08
3.67	-4.987	-4.51
3.69	-5.065	-4.6
3.71	-5.144	-4.56
3.73	-5.224	-4.51
3.75	-5.306	-4.64
3.77	-5.389	-4.68
3.79	-5.473	-4.87
3.81	-5.558	-4.98
3.83	-5.644	-4.88
3.85	-5.731	-5.07
3.87	-5.818	-4.97
3.89	-5.906	-5.11
3.91	-5.994	-5.15
3.93	-6.082	-5.21
3.95	-6.171	-5.02
3.97	-6.26	-5.14
3.99	-6.349	-5.22
4.01	-6.437	-5.3
4.03	-6.526	-5.23
4.05	-6.614	-5.4
4.07	-6.701	-5.47
4.09	-6.788	-5.32
4.11	-6.875	-5.34
4.15	-7.045	-5.38
4.17	-7.129	-5.27
4.19	-7.212	-5.23
4.21	-7.293	-5.23
4.23	-7.373	-4.98
4.25	-7.452	-5.01
4.27	-7.529	-5.04
4.29	-7.605	-5.11
4.31	-7.679	-5.18
4.33	-7.751	-5.31
4.35	-7.821	-5.28
4.37	-7.889	-5.33
4.39	-7.954	-5.07
4.41	-8.018	-5.23
4.43	-8.079	-5.39
4.45	-8.137	-5.23
4.47	-8.193	-5.32
4.49	-8.246	-5.31
4.51	-8.297	-5.49
4.53	-8.344	-5.45
4.55	-8.389	-5.4
4.57	-8.432	-5.45
4.59	-8.472	-5.43
4.61	-8.51	-5.6
4.63	-8.546	-5.35
4.65	-8.58	-5.26
4.67	-8.612	-5.31
4.69	-8.642	-5.3
4.71	-8.671	-5.45
4.73	-8.698	-5.62
4.75	-8.723	-5.72
4.77	-8.748	-5.6
4.79	-8.771	-5.52
4.81	-8.793	-5.39
4.83	-8.814	-5.53
4.85	-8.835	-4.9
4.87	-8.855	-4.86
4.89	-8.874	-5.35
4.91	-8.893	-5.59
4.93	-8.911	-6
4.95	-8.929	-5.86
4.97	-8.947	-3.92
5.05	-9.022	-4.32
5.07	-9.041	-4.65
5.09	-9.061	-4.47
5.11	-9.081	-4.99
5.13	-9.102	-5.78
5.15	-9.123	-5.65
5.17	-9.144	-4.51
5.69	-9.775	-3.4
5.71	-9.801	-4.69
5.73	-9.827	-4.01
5.75	-9.853	-4.31
5.77	-9.879	-3.47
5.79	-9.905	-3.32
5.81	-9.931	-3.81
5.83	-9.957	-4.69
5.85	-9.983	-4.75
5.87	-10.009	-3.99
5.89	-10.035	-4.35
5.91	-10.061	-4.56
5.935	-10.093	-4.45
5.975	-10.144	-2.31
5.995	-10.169	-2.21
6.015	-10.194	-3.58
6.07	-10.264	-4.9
6.23	-16.8302	-7.85
13.87	-33.3889	-7.76
14.99	-36.4615	-8.46
