Depth	Age	Lakewater
16.27	-39.2524	-7.96
16.43	-39.48615	-8.92
17.23	-40.5473	-9.07
17.71	-41.5375	-7.39
19.63	-46.0366	-7.52
19.79	-46.44085	-7.67
20.27	-47.649	-7.12
23.15	-56.16105	-6.61
25.07	-62.03465	-7.65
26.51	-65.56355	-7.52
27.79	-69.047	-6.58
28.27	-70.33185	-6.99
28.43	-70.7599	-6.74
28.59	-71.18815	-6.88
28.75	-71.6122	-7.1
30.03	-75.0044	-7.04
30.19	-75.4045	-6.7
30.35	-75.80565	-9.16
30.51	-76.20125	-6.61
31.79	-79.196	-9.35
31.95	-79.5348	-8.23
32.43	-80.54485	-1.77
32.59	-80.87775	-3.92
32.75	-81.2155	-3.58
32.91	-81.56275	-4.35
33.07	-81.8998	-4.47
33.23	-82.2367	-4.93
33.39	-82.58285	-5.29
33.55	-82.9296	-4.53
33.71	-83.2674	-4.61
33.87	-83.6042	-4.69
34.03	-83.97765	-4.57
34.19	-84.36715	-4.42
34.35	-84.76815	-4.4
34.51	-85.17155	-4.53
34.67	-85.57615	-4.2
34.83	-85.9804	-3.42
34.99	-86.38485	-3.35
35.15	-86.7925	-3.18
35.31	-87.1898	-3.11
35.47	-87.6003	-2.77
35.63	-88.00535	-2.14
36.11	-89.25885	-3.48
36.27	-89.6662	-4.47
36.43	-90.084	-4.43
36.59	-90.5196	-5.49
36.75	-91.04005	-5.32
36.91	-91.56205	-5.11
37.07	-92.0829	-3.89
37.23	-92.6063	-3.16
37.39	-93.1293	-3.22
37.55	-93.65285	-5.53
37.71	-94.1788	-4.38
37.87	-94.6863	-4.44
38.03	-95.1053	-3.81
38.19	-95.5252	-3.83
38.35	-95.9476	-3.97
38.51	-96.3614	-5.03
38.67	-96.78375	-4.4
38.83	-97.21385	-4.98
38.99	-97.6264	-4.8
39.15	-98.0382	-3.62
39.31	-98.4785	-4.69
39.47	-98.91525	-4.67
39.62	-99.3242	-4.54
39.79	-99.79165	-3.94
39.95	-100.23025	-4.7
40.11	-100.67275	-4.8
40.27	-101.1139	-4.99
40.43	-101.5547	-4.23
40.59	-101.9166	-5.56
40.75	-102.2676	-5.75
40.91	-102.6243	-4.92
41.07	-102.9788	-4.59
41.23	-103.3274	-4.8
41.39	-103.6874	-4.09
41.55	-104.03795	-3.59
41.71	-104.3903	-4.78
41.87	-104.745	-5.11
42.03	-105.10195	-5.39
42.19	-105.4634	-5.41
42.35	-105.8263	-5.1
42.51	-106.19065	-4.76
42.67	-106.5515	-5
42.83	-106.9183	-4.07
42.99	-107.28075	-3.47
43.15	-107.74685	-2.18
43.31	-108.26875	-3.25
43.47	-108.7978	-2.87
43.63	-109.3262	-3.9
43.79	-109.8521	-3.32
43.95	-110.374	-3.67
44.11	-110.89445	-4.05
44.27	-111.41755	-3.81
44.43	-111.9847	-3.91
44.59	-112.60695	-3.85
44.75	-113.2272	-4.12
44.91	-113.84205	-3.74
45.07	-114.45335	-4.42
45.23	-115.0729	-4.24
45.39	-115.68635	-4.16
45.55	-116.2999	-4.3
45.71	-116.93145	-4.37
45.87	-117.5965	-3.78
46.03	-118.2741	-2.6
46.19	-118.95695	-3.82
46.35	-119.6356	-4.15
46.51	-120.3088	-3.98
46.67	-120.97835	-3.84
46.83	-121.6387	-3.44
46.99	-122.29075	-3.49
47.15	-122.93015	-3.61
47.31	-123.58165	-4.46
47.47	-124.2302	-4.91
47.62	-124.8438	-4.95
47.79	-125.5389	-4.61
47.95	-126.19555	-4.44
48.11	-126.85895	-4.63
48.27	-127.49935	-4.63
48.58	-128.5892	-2.87
48.75	-129.18805	-3.27
48.91	-129.7491	-3.15
49.07	-130.31445	-3.04
49.23	-130.87765	-2.28
49.39	-131.44265	-1.76
50.67	-135.37915	-6.61
51.15	-136.7294	-7.46
51.95	-138.91755	-8.24
52.43	-140.18325	-9.53
53.05	-141.81955	-6.16
54.03	-144.3748	-8.88
54.17	-144.7371	-6.85
56.91	-151.27805	-7.88
58.51	-154.77425	-6.77
58.67	-155.1083	-6.53
59.31	-155.9085	-7.35
60.11	-156.88215	-7.63
60.27	-157.05425	-7.79
60.75	-157.5916	-7.5
61.39	-158.31055	-8.77
62.35	-159.4586	-7.83
63.63	-161.165	-6.77
64.43	-162.26125	-7.53
65.23	-163.3721	-9.28
65.87	-164.3747	-9.49
68.11	-167.81605	-8.19
68.75	-168.76855	-8.64
69.07	-169.2405	-8.17
70.35	-171.06235	-8.55
70.51	-171.27055	-8.36
71.15	-172.15965	-8.89
71.31	-172.37985	-8.4
71.47	-172.60685	-8.68
71.63	-172.8293	-9.62
72.59	-174.2874	-7.94
72.91	-174.7837	-9.09
73.39	-175.45855	-9.41
74.03	-176.3753	-9.01
75.47	-178.23755	-6.61
75.95	-178.87145	-8.2
76.43	-179.513	-7.11
76.75	-179.93555	-8.95
79.79	-184.65405	-7.01
81.39	-187.0456	-7.03
84.59	-191.99575	-6.68
87.63	-196.96905	-2.85
87.79	-197.28775	-3.37
87.95	-197.6049	-5.22
88.11	-197.91425	-5.46
88.27	-198.2315	-5.5
88.43	-198.55195	-5.31
88.59	-198.8571	-4.8
88.75	-199.13565	-3.89
88.91	-199.4142	-4.2
89.07	-199.69495	-4.39
89.23	-199.97505	-5.61
89.39	-200.24835	-5.26
89.55	-200.53475	-5.09
89.71	-200.80775	-4.94
89.87	-201.08675	-4.25
90.03	-201.3574	-5.23
90.19	-201.6211	-5.83
90.35	-201.8892	-5.52
90.51	-202.15925	-5.85
90.67	-202.4313	-5.8
90.83	-202.70185	-5.96
90.99	-202.97095	-4.74
91.15	-203.2414	-4.77
91.31	-203.52945	-5.47
91.47	-203.82685	-5.01
91.63	-204.1151	-4.19
91.79	-204.4038	-3.84
91.95	-204.69755	-3.89
92.11	-204.992	-4.1
92.27	-205.29295	-4.5
92.43	-205.5799	-4.98
92.59	-206.1052	-4.88
92.75	-206.6666	-4.77
92.91	-207.2228	-5.43
93.07	-207.7762	-4.69
93.23	-208.3335	-5.09
93.39	-208.88755	-4.88
93.55	-209.4367	-4.65
93.71	-209.98665	-5.02
93.87	-210.4645	-5.5
94.03	-210.91215	-4.37
94.19	-211.36655	-4.27
94.35	-211.80895	-4.82
94.51	-212.25745	-4.65
94.67	-212.707	-4.48
94.83	-213.15215	-4.97
94.99	-213.60565	-4.62
95.15	-214.11995	-5.51
95.31	-214.69655	-4.61
95.47	-215.262	-4.73
95.63	-215.83	-4.71
95.79	-216.40255	-5.19
95.96	-217.0072	-5.74
96.11	-217.5321	-5.71
96.27	-218.0837	-5.86
103.15	-235.8805	-4.7
103.31	-236.20655	-4.65
103.47	-236.51855	-5.06
103.63	-236.8427	-5.03
103.79	-237.1628	-5.14
103.95	-237.48195	-4.81
104.11	-237.7998	-5.05
104.27	-238.15725	-4.62
104.43	-238.5312	-5.39
104.59	-238.89825	-5.03
104.75	-239.26705	-5.49
104.9	-239.6046	-5.3
105.07	-239.9861	-5.23
105.23	-240.35005	-5.38
105.39	-240.7127	-5.5
105.55	-241.02585	-5.68
105.71	-241.32175	-5.72
105.87	-241.61035	-5.9
106.51	-242.80545	-7.41
113.71	-260.07335	-6.3
118.83	-273.55205	-6.11
121.07	-278.57965	-6.41
124.43	-286.28235	-6.29
124.59	-286.71635	-5.18
124.75	-287.14585	-5.52
124.91	-287.5801	-5.75
125.07	-288.0089	-6.05
125.23	-288.4365	-6.13
125.39	-288.8618	-6.01
125.55	-289.28545	-6.25
125.71	-289.71075	-6.17
125.87	-290.13465	-6
126.03	-290.5524	-6.21
126.19	-290.96615	-6.35
126.35	-291.3565	-6.13
126.51	-291.7247	-6.16
126.67	-292.10125	-6.48
126.83	-292.4742	-6.14
128.59	-296.63245	-6.16
134.19	-307.43015	-5.24
134.35	-307.76175	-5.8
134.51	-308.0942	-5.7
134.66	-308.4025	-5.34
134.83	-308.75555	-5.25
134.99	-309.08065	-5.89
135.15	-309.4116	-4.78
135.79	-310.62165	-6.84
135.95	-310.9071	-6.26
136.12	-311.21735	-6.77
136.27	-311.4806	-6.33
136.43	-311.77455	-6.15
136.59	-312.0641	-5.96
136.75	-312.35545	-5.96
136.91	-312.6569	-5.85
137.07	-312.95835	-6.13
137.23	-313.25785	-6.14
137.39	-313.56065	-5.96
137.55	-313.8567	-6.07
137.71	-314.16345	-6.15
137.87	-314.46365	-6.13
138.03	-314.76275	-6.22
138.19	-315.0649	-5.71
138.35	-315.3717	-5.96
138.51	-315.68395	-5.15
138.67	-315.9959	-5.27
138.83	-316.3031	-4.88
138.99	-316.6112	-5.62
139.15	-316.91885	-4.73
139.31	-317.2494	-4.6
139.46	-317.59765	-5.5
139.63	-317.9889	-5.18
139.79	-318.3591	-5.07
139.95	-318.73285	-4.18
140.27	-319.48555	-3.91
140.43	-319.85585	-2.62
140.75	-320.62165	-2.69
140.91	-321.0116	-5.66
141.07	-321.4072	-5.43
141.23	-321.79765	-5.89
141.39	-322.18325	-4.4
141.55	-322.57545	-4.7
141.71	-322.9683	-5.03
141.87	-323.3653	-5.03
142.03	-323.82775	-4.73
142.19	-324.28965	-4.99
142.35	-324.75385	-4.31
142.51	-325.2132	-4.85
142.67	-325.66485	-4.39
142.83	-326.1176	-3.88
142.99	-326.56855	-3.97
143.15	-327.01535	-3.92
143.31	-327.5073	-4.81
143.47	-327.9855	-5.12
143.63	-328.4736	-5.55
143.79	-328.9673	-5.62
143.95	-329.454	-5.73
144.11	-329.93925	-5.32
144.27	-330.42695	-5.03
144.43	-330.91875	-4.36
144.59	-331.39635	-4.76
144.75	-331.88715	-5.27
144.91	-332.3643	-5.96
145.07	-332.8423	-6.38
145.39	-333.8121	-6.2
145.55	-334.2876	-5.84
145.87	-335.2702	-6.35
147.15	-339.3434	-5.84
152.91	-358.21055	-6.03
155.47	-366.25825	-5.38
158.19	-375.2954	-4.49
159.47	-381.50295	-6.52
159.63	-382.3495	-5.23
160.11	-384.86595	-6.45
160.27	-385.6031	-7.14
160.59	-387.09385	-6.69
160.75	-387.841	-6.02
160.91	-388.59775	-5.96
161.07	-389.3464	-6.02
161.23	-390.1082	-6.59
161.39	-390.81085	-6.88
161.55	-391.35585	-5.87
162.19	-393.5424	-4.5
162.99	-395.78325	-6.89
163.15	-396.1117	-6.07
163.31	-396.43445	-6.41
163.47	-396.75735	-5.09
163.63	-397.0735	-4.62
163.79	-397.39355	-5.22
164.11	-398.08495	-5.27
164.27	-398.4591	-4.93
164.43	-398.8339	-5.17
164.59	-399.21495	-5.95
164.75	-399.58975	-5.89
164.91	-399.9663	-5.63
165.55	-401.5419	-4.47
165.71	-401.95085	-6.01
165.87	-402.36755	-6.31
166.03	-402.7695	-6.25
166.19	-403.17765	-6.05
166.35	-403.5865	-5.63
166.51	-403.9978	-5.81
166.67	-404.496	-5.13
166.83	-405.0244	-4.17
167.79	-408.25975	-4.32
167.95	-408.6852	-3.74
168.11	-409.05175	-5.56
168.27	-409.41975	-4.67
168.43	-409.7908	-4.2
168.59	-410.16675	-4.3
168.75	-410.5428	-3.78
168.91	-410.9239	-3.83
169.07	-411.3001	-3.53
169.23	-411.7322	-4.13
169.39	-412.21305	-3.6
169.55	-412.69975	-3.66
169.71	-413.18695	-3.67
169.87	-413.6736	-4.05
170.03	-414.16015	-4.67
170.19	-414.6485	-3.89
170.35	-415.13255	-4.18
170.51	-415.5743	-4.2
170.67	-415.96885	-4.51
170.83	-416.36185	-4.15
170.99	-416.7494	-4.98
171.15	-417.13645	-4.83
171.31	-417.52195	-4.64
171.47	-417.91265	-4.63
171.63	-418.2996	-4.86
171.79	-418.71425	-4.8
171.95	-419.20655	-4.68
172.11	-419.70805	-4.37
172.27	-420.21275	-4.26
172.43	-420.7132	-3.91
172.59	-421.20705	-3.84
172.75	-421.7098	-3.77
172.91	-422.20735	-4.46
173.07	-422.6839	-4.48
173.23	-423.1112	-4.59
173.39	-423.5314	-4.16
173.55	-423.95295	-4.89
173.71	-424.37395	-4.44
173.87	-424.79225	-4.59
174.03	-425.2159	-5.28
174.19	-425.644	-5.44
174.35	-426.0682	-4.83
175.95	-430.87545	-5.15
178.35	-441.30195	-5.58
180.27	-449.43795	-5.89
181.07	-452.5985	-6.49
186.99	-470.57495	-6.13
188.43	-473.7622	-4.42
188.75	-474.47235	-3.32
188.91	-474.8409	-4.42
189.07	-475.21015	-4.01
189.23	-475.58765	-3.93
190.51	-478.6172	-3.5
190.67	-479.0058	-3.87
190.83	-479.39735	-4.43
190.99	-479.7858	-4.64
191.15	-480.1774	-4.9
191.31	-480.5247	-5.58
191.47	-480.8448	-5.78
191.63	-481.1385	-4.63
191.79	-481.4401	-2.15
191.95	-481.74835	-4.28
192.11	-482.0485	-4.67
192.27	-482.35415	-4.74
192.43	-482.6582	-4.85
192.59	-482.9697	-4.94
192.75	-483.36555	-4.97
192.91	-483.74375	-5.56
193.07	-484.1295	-5.31
193.23	-484.51065	-5.69
193.39	-484.89575	-5.52
193.55	-485.28425	-4.85
193.71	-485.66515	-4.79
193.87	-486.04705	-4.88
194.03	-486.4407	-4.79
194.19	-486.82665	-5.6
194.35	-487.2209	-4.04
194.51	-487.6098	-4.72
194.67	-487.99245	-4.82
194.83	-488.37875	-5.31
194.99	-488.75735	-4.38
195.15	-489.14075	-4.57
195.31	-489.573	-5.15
195.47	-490.00255	-4.93
195.63	-490.4421	-4.88
195.79	-490.88065	-4.28
195.95	-491.3261	-4.41
196.11	-491.77025	-4.08
196.27	-492.19595	-4.94
196.43	-492.62375	-5.04
196.59	-493.23035	-4.54
196.75	-493.86375	-4.6
196.91	-494.49415	-4.26
197.07	-495.12975	-4.98
197.23	-495.7652	-4.55
197.39	-496.39585	-4.58
197.55	-497.0151	-5.3
197.71	-497.639	-5.53
197.87	-498.285	-5.04
198.03	-498.9346	-5.37
198.19	-499.5791	-4.66
198.35	-500.23075	-4.26
198.51	-500.877	-4.48
198.67	-501.5299	-4.93
198.83	-502.18295	-4.96
198.99	-502.8309	-4.72
199.15	-503.6783	-4.93
199.31	-504.63	-4.78
199.47	-505.58365	-4.05
199.63	-506.547	-4.81
199.79	-507.50365	-4.73
199.95	-508.4658	-4.92
200.11	-509.4285	-5.62
200.27	-510.3913	-5.67
200.43	-511.17615	-5.39
200.59	-511.8025	-4.8
200.75	-512.42375	-5.81
200.91	-513.0525	-6.17
201.07	-513.68165	-5.59
201.23	-514.31115	-6.82
201.39	-514.93715	-6.35
201.55	-515.5703	-6.45
201.87	-516.66345	-5.36
202.03	-517.1798	-5.53
202.19	-517.6994	-5.28
202.83	-519.75345	-5.64
202.99	-520.28325	-4.73
203.15	-520.8651	-5
203.31	-521.44665	-5.56
203.47	-522.02395	-5.16
203.63	-522.60045	-5.53
203.79	-523.19415	-4.77
203.95	-523.78255	-4.42
204.11	-524.3659	-4.44
204.27	-524.94795	-4.14
204.43	-525.5389	-4.55
204.59	-526.12985	-5.06
204.82	-526.9872	-4.87
204.91	-527.31965	-5.11
205.07	-527.91965	-5.26
205.23	-528.51715	-4.29
205.39	-529.1048	-5.2
205.55	-529.69885	-4.37
205.71	-530.05105	-6.22
205.87	-530.4084	-5.23
206.03	-530.76485	-6.03
206.19	-531.1238	-5.21
206.35	-531.488	-5.57
206.51	-531.8524	-6.39
206.67	-532.209	-6.1
206.83	-532.56985	-5.96
206.99	-532.85655	-5.88
207.15	-533.14995	-5.46
207.31	-533.43385	-4.66
208.11	-534.8724	-7.82
209.55	-537.7978	-7.93
209.71	-538.4114	-7.13
210.03	-539.63835	-4.1
210.19	-540.23915	-5.03
210.35	-540.85055	-4.54
210.51	-541.4496	-4.72
210.67	-542.06175	-5.62
210.83	-542.60595	-5.42
210.99	-543.10225	-5.58
211.15	-543.61025	-5.55
211.32	-544.1272	-6.08
211.47	-544.6044	-5.44
211.63	-545.1025	-5.67
211.79	-545.60625	-5.03
211.95	-546.1082	-6.18
212.11	-546.622	-4.01
212.27	-547.15765	-3.94
212.43	-547.69605	-4.34
212.59	-548.24255	-4.73
212.75	-548.7871	-3.93
212.91	-549.32675	-3.67
213.07	-549.8592	-5.06
213.23	-550.39945	-4.87
213.39	-550.92305	-4.97
213.55	-551.427	-5.39
213.71	-551.95075	-4.57
213.87	-552.4734	-5.14
214.03	-552.9969	-4.56
214.19	-553.5221	-4.84
214.35	-554.04025	-4.02
214.51	-554.5663	-5.12
214.67	-555.07305	-5.79
214.83	-555.55185	-5.02
214.99	-556.02435	-5.48
215.15	-556.48975	-4.97
215.31	-556.96775	-4.8
215.47	-557.4369	-5.13
215.63	-557.90385	-5.01
215.79	-558.37905	-5.82
215.95	-559.03995	-6.28
216.11	-559.28565	-6.22
216.27	-559.7229	-6.72
216.43	-560.1673	-6.05
216.59	-560.61935	-4.78
216.75	-561.0679	-4.06
216.91	-561.5077	-4.85
217.07	-561.9498	-4.7
217.23	-562.37925	-5.07
217.39	-562.73415	-4.92
217.55	-563.07465	-5.54
217.71	-563.41775	-5.38
217.87	-563.7593	-5.43
218.03	-564.10265	-5.39
218.19	-564.4442	-4.89
218.35	-564.7746	-4.24
218.51	-565.1024	-5.33
218.67	-565.42795	-5.24
218.83	-565.7554	-4.41
218.99	-566.0885	-4.75
219.15	-566.42	-5.04
219.31	-566.74525	-4.91
219.47	-567.07045	-3.99
219.63	-567.39395	-2.84
219.79	-567.71365	-4.56
219.95	-568.052	-4.54
220.11	-568.4009	-5.1
220.27	-568.74265	-6.27
220.43	-569.09265	-5.51
220.59	-569.4432	-3.67
220.75	-569.7897	-5.83
220.91	-570.1373	-5.65
221.07	-570.47795	-5.74
221.23	-570.84265	-5.44
221.39	-571.1993	-5.34
221.55	-571.5694	-5.34
221.71	-571.9412	-5.37
222.03	-572.67605	-5.17
222.19	-573.05405	-5.37
222.35	-573.41525	-5.15
222.51	-573.78985	-5.64
222.67	-574.15015	-5.42
222.83	-574.52705	-5.33
222.99	-574.8886	-5.2
223.15	-575.2536	-5.35
223.31	-575.618	-5.94
223.47	-575.98895	-5.7
223.63	-576.3543	-6.09
223.79	-576.71055	-6.02
223.95	-577.06965	-5.3
224.11	-577.4314	-5.94
224.27	-577.79305	-6.25
224.43	-578.1673	-5.54
224.59	-578.5267	-4.37
224.75	-578.8938	-4.12
224.91	-579.25365	-4.53
225.07	-579.6153	-5.41
225.23	-579.9381	-5.47
225.39	-580.26465	-5.46
225.55	-580.59365	-5.25
225.71	-580.9183	-5.11
225.87	-581.24335	-4.13
226.03	-581.57255	-5.31
226.19	-581.89535	-4.19
226.35	-582.2212	-4.72
226.51	-582.5557	-4.77
226.67	-582.8992	-4.59
226.99	-583.5847	-3.6
227.15	-583.9289	-3.35
227.31	-584.2766	-3.75
227.47	-584.61625	-4.58
227.63	-584.9619	-3.49
227.79	-585.38045	-4.69
227.95	-585.81895	-4.69
228.11	-586.2534	-4.59
228.27	-586.69265	-4.71
228.43	-587.13365	-4.74
228.59	-587.5664	-4.68
228.75	-588.0022	-4.76
228.91	-588.4251	-5.59
229.07	-588.8264	-5.08
229.23	-589.2035	-5.93
229.55	-589.97775	-5.54
229.71	-590.3667	-5.43
229.87	-590.74765	-4.59
230.03	-591.13035	-4.55
230.18	-591.4877	-5.41
230.35	-591.9272	-4.7
230.51	-592.35485	-4.13
230.67	-592.7845	-4.72
230.83	-593.21825	-5.6
230.99	-593.65765	-5.75
231.15	-594.0975	-5.6
231.31	-594.52335	-5.13
231.47	-594.951	-5.42
231.64	-595.4854	-5.43
231.79	-595.92235	-4.74
231.95	-596.4353	-4.5
232.11	-596.94565	-4.83
232.27	-597.45335	-4.44
232.43	-597.9652	-4.36
232.59	-598.4715	-4.39
232.75	-598.9856	-4.28
232.91	-599.45785	-5.42
233.07	-599.8832	-5.87
233.23	-600.3029	-5.29
233.39	-600.72555	-5.74
233.55	-601.14345	-5.07
233.71	-601.57185	-5.53
233.87	-601.9991	-5.09
234.03	-602.4342	-4.43
234.19	-602.8536	-4.72
234.35	-603.25135	-5.08
234.51	-603.652	-4.55
234.66	-604.0267	-5.17
234.83	-604.4551	-5.55
234.99	-604.8601	-5.34
235.15	-605.26355	-5.34
235.31	-605.67075	-5.06
235.47	-606.0729	-4.88
235.63	-606.5253	-5.63
235.79	-606.98215	-5.54
235.95	-607.4306	-5.53
