Vial	Age	Quartz
1	-1.5789	0.327957
3	-2.0987	0.16667
5	-3.5675	0.135718
7	-5.05815	0.112195
9	-6.54905	0.151276
11	-8.0397	0.294329
13	-8.82445	0.222065
15	-9.54475	0.296497
17	-10.1778	0.290751
19	-10.9004	0.284287
21	-11.8927	0.229832
23	-13.0517	0.234685
25	-14.1485	0.249407
27	-15.2415	0.25845
29	-15.8294	0.306092
31	-16.2302	0.299183
33	-16.63055	0.32827
35	-17.0312	0.312408
37	-17.5244	0.383237
39	-18.0638	0.360466
41	-18.6	0.345833
43	-19.1293	0.336618
45	-19.84275	0.321776
47	-20.7768	0.33549
49	-21.7145	0.312953
51	-22.5894	0.300217
53	-23.48575	0.389368
55	-24.3304	0.391822
57	-25.1749	0.343789
59	-26.03195	0.383497
61	-26.8357	0.306278
63	-27.54175	0.322817
65	-28.2461	0.36133
67	-28.9553	0.356924
69	-29.59315	0.344977
71	-30.05065	0.392359
73	-30.5021	0.323384
75	-30.9549	0.321894
77	-31.4786	0.361347
79	-32.2485	0.289911
81	-33.00755	0.396326
83	-33.7682	0.338013
85	-34.55765	0.289407
87	-35.50805	0.311183
89	-36.4615	0.299516
91	-37.41985	0.278524
93	-38.32235	0.2808
95	-38.78785	0.282731
97	-39.2524	0.344165
99	-39.71885	0.314198
101	-40.21455	0.384279
103	-40.87665	0.357414
105	-41.5375	0.335538
107	-42.19505	0.302972
109	-42.8593	0.342513
111	-43.6548	0.33071
113	-44.4464	0.308066
115	-45.24115	0.292791
117	-46.0366	0.336408
119	-46.83995	0.303615
121	-47.649	0.289878
123	-48.43885	0.300749
125	-49.24135	0.350775
127	-50.2533	0.338497
129	-51.29545	0.327118
131	-52.35185	0.313442
133	-53.38915	0.317692
135	-54.3248	0.274079
137	-55.24255	0.296385
139	-56.16105	0.307837
141	-57.08635	0.318795
143	-58.0956	0.322273
145	-59.1252	0.319694
147	-60.1614	0.31396
149	-61.20335	0.347703
151	-62.03465	0.314494
153	-62.7759	0.306595
155	-63.53795	0.374225
157	-64.2965	0.354455
159	-65.12165	0.364512
161	-66.0044	0.373755
163	-66.8845	0.401833
165	-67.76515	0.308477
167	-68.61695	0.369527
169	-69.46685	0.377032
171	-70.33185	0.346222
173	-71.18815	0.375755
174	-71.6122	0.344441
175	-72.0408	0.366255
176	-72.4648	0.32083
177	-72.88285	0.323806
178	-73.31325	0.27919
179	-73.73215	0.316778
180	-74.15855	0.283618
181	-74.5871	0.301751
182	-75.0044	0.294424
183	-75.4045	0.305878
184	-75.80565	0.276068
185	-76.20125	0.323552
186	-76.60565	0.283021
187	-76.996	0.295341
188	-77.3943	0.254252
189	-77.79	0.261097
190	-78.18015	0.275856
191	-78.5292	0.305438
192	-78.8641	0.293762
193	-79.196	0.327247
194	-79.5348	0.275038
195	-79.873	0.260832
196	-80.19	0.269845
197	-80.54485	0.292111
198	-80.87775	0.200533
199	-81.2155	0.218272
200	-81.56275	0.185423
201	-81.8998	0.228461
202	-82.2367	0.197917
203	-82.58285	0.207918
204	-82.9296	0.161589
205	-83.2674	0.168046
206	-83.6042	0.146702
207	-83.97765	0.161748
208	-84.36715	0.151785
209	-84.76815	0.215523
210	-85.17155	0.231716
211	-85.57615	0.277902
212	-85.9804	0.261245
213	-86.38485	0.289632
214	-86.7925	0.226501
215	-87.1898	0.258673
216	-87.6003	0.262417
217	-88.00535	0.289848
218	-88.42235	0.265283
219	-88.842	0.30554
220	-89.25885	0.253275
221	-89.6662	0.233002
222	-90.084	0.201856
223	-90.5196	0.247717
224	-91.04005	0.232978
225	-91.56205	0.27513
226	-92.0829	0.239538
227	-92.6063	0.277791
228	-93.1293	0.256377
229	-93.65285	0.282472
230	-94.1788	0.267978
231	-94.6863	0.271688
232	-95.1053	0.202598
233	-95.5252	0.23474
234	-95.9476	0.21871
235	-96.3614	0.263171
236	-96.78375	0.237552
237	-97.21385	0.242783
238	-97.6264	0.215193
239	-98.0382	0.233893
240	-98.4785	0.1979
241	-98.91525	0.207819
242	-99.3242	0.167245
243	-99.79165	0.151555
244	-100.23025	0.153057
245	-100.67275	0.156824
246	-101.1139	0.145215
247	-101.5547	0.104017
248	-101.9166	0.173835
249	-102.2676	0.19605
250	-102.6243	0.161191
251	-102.9788	0.196773
252	-103.3274	0.196647
