Vial	Depth	Age	Cribrionella_ohridana	Cyclotella_bifacialis	Cyclotella_cavitata	Cyclotella_fottii	Cyclotella_meneghiniana	Cyclotella_sollevata	Discostella_pseudostelligera	Lindavia_radiosa	Lindavia_thienemannii	Pantocsekiella_polymorpha	Pantocsekiella_costei	Pantocsekiella_delicatula	Pantocsekiella_minuscula	Pantocsekiella_multiocellata	Pantocsekiella_ocellata	Pantocsekiella_preocellata	Pantocsekiella_rossii
1	0.97	-1.5789	0	0	0	37	0	0	0	0	0	0	0	0	119	0	183	0	1
9	2.25	-6.54905	0	0	0	190	0	0	0	0	0	0	1	0	1	0	53	0	0
17	3.49	-10.1778	0	0	0	74	0	0	0	0	0	0	0	0	39	0	11	0	0
25	4.79	-14.1485	0	0	0	96	0	0	0	0	0	0	0	0	27	0	19	0	2
33	6.07	-16.63055	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
41	7.35	-18.6	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0
49	8.61	-21.7145	0	0	0	90	0	0	0	0	0	0	0	0	0	0	1	0	0
57	9.87	-25.1749	0	0	0	96	0	0	0	0	0	0	0	0	0	0	1	0	0
65	11.15	-28.2461	0	0	0	145	0	0	0	0	0	0	0	0	1	0	0	0	0
73	12.43	-30.5021	0	0	0	89	0	0	0	0	0	0	0	0	6	0	1	0	0
81	13.71	-33.00755	0	0	0	137	0	0	0	0	0	0	0	0	8	0	1	0	0
89	14.99	-36.4615	0	0	0	8	0	0	0	0	0	0	0	0	40	0	35	0	0
97	16.27	-39.2524	0	0	0	4	0	0	0	0	0	0	0	0	173	0	61	0	0
105	17.71	-41.5375	0	0	0	72	0	0	0	0	0	0	0	0	43	0	26	0	0
113	18.99	-44.4464	0	0	0	62	0	0	0	0	0	0	0	0	6	0	23	0	0
121	20.27	-47.649	0	0	0	78	0	0	0	0	0	0	0	0	28	0	26	0	0
129	21.55	-51.29545	0	0	0	75	0	0	0	0	0	0	0	0	8	0	11	0	0
137	22.83	-55.24255	0	0	0	114	0	0	0	0	0	0	0	0	8	0	17	0	0
145	24.11	-59.1252	0	0	0	86	0	0	0	0	0	0	0	0	4	0	7	0	0
153	25.39	-62.7759	0	0	0	78	0	0	0	0	0	0	0	0	7	0	5	0	0
161	26.67	-66.0044	0	0	0	48	0	0	0	0	0	0	0	0	4	0	40	0	0
169	27.95	-69.46685	0	0	0	27	0	0	0	0	0	0	0	0	43	0	74	0	0
177	29.23	-72.88285	0	0	0	194	0	0	0	0	0	0	0	0	52	0	95	0	0
185	30.51	-76.20125	0	0	0	120	0	0	0	0	0	0	0	0	147	0	76	0	0
193	31.79	-79.196	0	0	0	100	0	0	0	0	0	0	0	0	134	0	112	0	0
201	33.07	-81.8998	0	0	0	157	0	0	0	0	0	0	2	0	52	0	127	0	0
209	34.35	-84.76815	0	0	0	163	0	0	0	0	0	0	1	0	33	0	144	0	0
217	35.63	-88.00535	0	0	0	105	0	0	0	0	0	0	0	0	150	0	89	0	0
225	36.91	-91.56205	0	0	0	146	0	0	0	0	0	0	0	0	52	0	145	0	0
233	38.19	-95.5252	0	0	0	78	0	0	0	0	2	0	0	0	17	0	43	0	0
241	39.47	-98.91525	0	0	0	85	0	0	0	0	0	0	0	0	38	0	214	0	7
249	40.75	-102.2676	0	0	0	61	0	0	0	0	0	0	0	0	56	0	80	0	0
257	42.03	-105.10195	0	0	0	65	0	0	0	0	0	0	0	0	36	0	142	0	0
265	43.31	-108.26875	0	0	0	43	0	0	0	0	0	0	0	0	205	0	111	0	0
273	44.59	-112.60695	0	0	0	76	0	0	0	0	0	0	0	0	144	0	130	0	0
281	45.87	-117.5965	0	0	0	50	0	0	0	0	0	0	0	0	47	0	95	0	4
289	47.15	-122.93015	0	0	0	103	0	0	0	0	6	0	0	0	16	0	219	0	1
297	48.43	-128.06325	0	0	0	71	0	0	0	0	0	0	0	0	8	0	119	0	3
305	49.71	-132.48695	0	0	0	9	0	0	0	0	0	0	0	0	8	0	9	0	0
313	50.99	-136.29045	0	0	0	46	0	0	0	0	0	0	0	0	15	0	83	0	1
321	52.27	-139.8283	0	0	0	63	0	0	0	0	0	0	0	0	17	0	12	0	0
329	53.57	-143.17425	0	0	0	96	0	0	0	0	0	0	0	0	2	0	0	0	0
337	54.83	-146.4431	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0
345	56.11	-149.6383	0	0	0	137	0	0	0	0	0	0	0	0	2	0	0	0	0
353	57.39	-152.27495	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0
361	58.67	-155.1083	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0
369	59.95	-156.70415	0	0	0	91	0	0	0	0	0	0	0	0	2	0	0	0	0
377	61.23	-158.1221	0	0	0	134	0	0	0	0	0	0	0	0	2	0	0	0	0
385	62.51	-159.64295	0	0	0	96	0	0	0	0	0	0	0	0	2	0	0	0	0
393	63.79	-161.375	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0
401	65.07	-163.14255	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0
409	66.35	-165.1314	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0
417	67.63	-167.1151	0	0	0	64	0	0	0	0	0	0	0	23	18	0	1	0	0
425	68.91	-169.00535	0	0	0	161	0	0	0	0	0	0	0	9	10	0	0	0	0
433	70.19	-170.82795	0	0	0	178	0	0	0	0	0	0	0	0	8	0	0	0	0
441	71.47	-172.60685	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0
449	72.75	-174.53755	0	0	0	175	0	0	0	0	0	0	0	0	2	0	1	0	0
457	74.03	-176.3753	0	0	0	154	0	0	0	0	0	0	0	0	22	0	0	0	0
465	75.31	-178.0325	0	0	0	147	0	0	0	0	0	0	0	1	25	0	0	0	0
473	76.59	-179.724	0	0	0	106	0	0	0	0	0	0	0	1	35	0	0	0	0
481	77.87	-181.6072	0	0	0	127	0	0	0	0	0	0	0	0	18	0	0	0	0
489	79.15	-183.69415	0	0	0	156	0	0	0	0	0	0	0	0	35	0	0	0	0
497	80.43	-185.53835	0	0	0	56	0	0	0	0	0	0	0	0	125	0	67	0	0
505	81.71	-187.577	0	0	0	159	0	0	0	0	0	0	0	0	105	0	21	0	0
513	82.99	-189.60765	0	0	0	66	0	0	0	0	0	0	0	0	207	0	18	0	0
521	84.27	-191.51695	0	0	0	76	0	0	0	0	0	0	0	0	166	0	40	0	0
529	85.55	-193.4274	0	0	0	48	0	0	0	0	0	0	0	0	211	0	19	0	0
537	86.83	-195.50855	0	0	0	64	0	0	0	0	0	0	0	0	169	0	28	0	0
545	88.11	-197.91425	0	0	0	140	0	0	0	0	0	0	0	0	52	0	84	0	0
553	89.39	-200.24835	0	0	0	102	0	0	0	0	0	0	0	0	41	0	145	0	0
561	90.67	-202.4313	0	0	0	216	0	0	0	0	0	0	0	0	33	0	32	0	0
569	91.95	-204.69755	0	0	0	70	0	0	0	0	0	0	0	0	165	0	20	0	0
577	93.23	-208.3335	0	0	0	161	0	0	0	0	0	0	0	0	60	0	67	0	0
585	94.51	-212.25745	0	0	1	177	0	0	0	0	0	0	0	0	46	0	68	0	0
593	95.79	-216.40255	0	0	0	216	0	0	0	0	0	0	0	0	13	0	57	0	0
601	97.07	-221.25125	0	0	3	104	0	0	0	0	0	0	0	0	60	0	122	0	0
609	98.35	-225.4518	0	0	2	100	0	0	0	0	0	0	0	0	25	0	102	0	0
617	99.63	-228.3832	0	0	0	15	0	0	0	0	0	0	0	0	145	0	139	0	0
625	100.91	-231.08715	0	0	18	116	0	0	0	0	0	0	0	0	56	0	71	0	0
633	102.19	-233.8522	0	0	51	96	0	0	0	0	0	0	0	0	22	0	121	0	0
641	103.47	-236.51855	0	0	78	126	0	0	0	0	0	0	0	0	21	0	6	0	0
649	104.75	-239.26705	0	0	133	151	0	0	0	0	0	0	0	0	2	0	5	0	0
657	106.03	-241.91665	0	0	130	28	0	0	0	0	0	0	0	0	42	0	59	0	0
665	107.31	-244.37275	0	0	73	27	0	0	0	0	0	0	0	0	31	0	154	0	0
673	108.59	-246.9352	0	0	54	56	0	0	0	0	0	0	0	0	57	0	126	0	0
681	109.87	-249.68525	0	0	87	79	0	0	0	0	0	0	0	0	40	0	105	0	0
689	111.15	-252.8258	0	0	62	40	0	0	0	0	0	0	0	0	76	0	124	0	0
697	112.43	-256.29085	0	0	50	18	0	0	0	0	0	0	0	0	94	0	127	0	0
705	113.71	-260.07335	0	0	53	32	0	0	0	0	0	0	0	0	147	0	72	0	0
713	114.99	-263.7639	0	0	20	31	0	0	0	0	0	0	0	0	100	0	135	0	0
721	116.27	-267.02265	0	0	35	37	0	0	0	0	0	0	0	0	49	0	109	0	0
729	117.57	-270.3201	0	0	18	15	0	0	0	0	0	0	0	0	63	0	155	0	0
737	118.83	-273.55205	0	0	0	23	0	0	0	0	0	0	0	0	35	0	178	0	0
745	120.11	-276.5199	0	0	12	25	0	0	0	0	0	0	0	0	134	0	129	0	0
753	121.39	-279.29375	0	0	11	6	0	0	0	0	0	0	0	0	191	0	83	0	0
761	122.67	-282.10625	0	0	90	9	0	0	0	0	0	0	0	0	151	0	49	0	0
769	123.95	-284.9992	0	0	139	42	0	0	0	0	0	0	0	0	84	0	32	0	0
777	125.23	-288.4365	0	0	187	16	0	0	0	0	0	0	0	0	66	0	29	0	0
785	126.51	-291.7247	0	0	114	15	0	0	0	0	0	0	0	0	110	0	56	0	0
793	127.79	-294.7364	0	0	79	10	0	0	0	0	0	0	0	0	147	0	55	0	0
801	129.06	-297.6403	0	0	60	9	0	0	0	0	0	0	0	0	129	0	102	0	0
809	130.35	-300.04145	0	0	73	6	0	0	0	0	0	0	0	0	189	0	22	0	0
817	131.63	-302.36375	0	0	58	9	0	0	0	0	0	0	0	0	202	0	18	0	0
825	132.91	-304.78535	0	0	86	6	0	0	0	0	0	0	0	0	107	0	81	0	0
833	134.19	-307.43015	0	0	59	12	0	0	0	0	0	0	0	0	127	0	62	0	0
841	135.47	-310.04175	0	0	15	11	0	0	0	0	0	0	0	0	155	0	121	0	0
849	136.75	-312.35545	0	0	96	21	0	0	0	0	0	0	0	0	44	0	106	0	0
857	138.03	-314.76275	0	0	65	8	0	0	0	0	0	0	0	0	145	0	56	0	0
865	139.31	-317.2494	0	0	34	17	0	0	0	0	0	0	0	0	165	0	93	0	0
873	140.59	-320.2302	0	0	85	9	0	0	0	0	0	0	0	0	113	0	74	0	0
881	141.87	-323.3653	0	0	126	0	0	0	0	0	0	0	0	0	61	0	101	0	0
889	143.15	-327.01535	0	0	126	0	0	0	0	0	0	0	0	0	18	0	115	0	0
897	144.43	-330.91875	0	0	158	2	0	0	0	0	0	0	0	0	11	0	22	0	0
905	145.71	-334.77375	0	0	72	47	0	0	0	0	0	0	0	0	30	0	10	0	0
913	146.99	-338.8096	0	0	65	11	0	0	0	0	0	0	0	0	17	0	28	0	0
921	148.27	-343.1826	0	0	69	3	0	0	0	0	0	0	0	0	30	0	56	0	0
929	149.55	-347.39635	0	0	30	5	0	0	0	0	0	0	0	0	81	0	158	0	0
937	150.83	-351.3808	0	0	100	17	0	0	0	0	0	0	0	0	82	0	52	0	0
945	152.11	-355.5178	0	0	37	2	0	0	0	0	0	0	0	0	191	0	44	0	0
953	153.39	-359.8555	0	0	64	11	0	0	0	0	0	0	0	0	57	0	92	0	0
961	154.67	-364.12535	0	0	58	7	0	0	0	0	0	1	0	0	77	0	107	0	0
969	155.95	-367.45815	0	0	164	4	0	0	0	0	0	0	0	0	16	0	0	0	7
977	157.23	-371.4994	0	0	207	3	0	0	0	0	0	0	0	0	30	0	0	0	2
985	158.51	-376.64275	0	0	136	2	0	0	0	0	0	1	0	1	66	0	3	0	12
993	159.79	-383.21115	0	0	136	2	0	0	0	0	0	0	0	0	118	0	4	0	2
1001	161.07	-389.3464	0	0	98	3	0	0	0	0	0	0	0	0	133	0	11	0	7
1009	162.35	-394.0871	0	0	135	2	0	0	0	0	0	0	0	1	129	0	4	0	1
1017	163.63	-397.0735	0	0	208	0	0	0	0	0	0	0	0	0	43	0	3	0	1
1025	164.91	-399.9663	0	0	141	2	0	0	0	0	0	0	0	0	106	0	4	0	2
1033	166.19	-403.17765	0	0	189	0	0	0	0	0	0	0	0	0	49	0	3	0	2
1041	167.47	-407.1875	0	0	34	2	0	0	0	0	0	0	0	0	204	0	5	0	2
1049	168.75	-410.5428	0	0	140	2	0	0	0	1	0	0	0	0	53	0	28	0	45
1057	170.03	-414.16015	0	0	163	0	0	0	0	0	0	0	4	0	11	0	28	0	1
1065	171.31	-417.52195	0	0	169	0	0	0	0	0	0	0	0	6	5	0	20	0	2
1073	172.59	-421.20705	0	0	214	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1081	173.87	-424.79225	0	0	179	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1089	175.15	-428.5015	0	0	203	22	0	0	0	0	0	0	0	0	0	0	0	0	0
1097	176.43	-432.2262	0	0	83	13	0	0	0	0	0	0	0	0	9	0	0	0	0
1105	177.71	-437.89185	6	0	84	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1113	178.99	-444.149	96	0	120	5	0	0	0	0	0	0	0	0	0	0	0	0	0
1121	180.27	-449.43795	146	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1129	181.55	-454.6388	167	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1137	182.83	-459.05375	96	0	155	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1145	184.11	-462.4634	146	0	47	7	0	0	0	0	0	0	0	0	0	0	0	0	0
1153	185.39	-466.1512	138	0	78	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1161	186.67	-469.78485	168	0	31	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1169	187.95	-472.73835	149	0	64	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1177	189.23	-475.58765	171	0	42	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1185	190.51	-478.6172	41	0	131	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1193	191.79	-481.4401	30	0	157	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1201	193.07	-484.1295	21	0	133	13	0	0	0	0	0	0	0	0	0	0	0	0	0
1209	194.35	-487.2209	22	0	185	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1217	195.63	-490.4421	140	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1225	196.91	-494.49415	140	0	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1233	198.19	-499.5791	22	0	179	34	0	0	0	0	0	0	0	0	0	0	0	0	0
1241	199.47	-505.58365	6	0	179	25	0	0	0	0	0	0	0	0	0	0	0	0	0
1249	200.75	-512.42375	4	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1257	202.03	-517.1798	95	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1265	203.31	-521.44665	25	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1273	204.59	-526.12985	18	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1281	205.87	-530.4084	30	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1289	207.15	-533.14995	60	0	205	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1297	208.43	-535.4705	144	0	45	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1305	209.71	-538.4114	143	0	95	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1313	210.99	-543.10225	16	0	264	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1321	212.27	-547.15765	74	0	190	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1329	213.55	-551.427	94	0	142	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1337	214.83	-555.55185	88	0	167	20	0	0	0	0	0	0	0	0	0	0	0	0	0
1345	216.11	-559.28565	134	0	139	11	0	0	0	0	0	0	0	0	0	0	0	0	0
1353	217.39	-562.73415	186	0	49	6	0	0	0	0	0	0	0	0	0	0	0	0	0
1361	218.67	-565.42795	165	0	55	14	0	0	0	0	0	0	0	0	0	0	0	0	0
1369	219.95	-568.052	160	0	35	4	0	0	0	0	0	0	0	0	0	0	0	0	0
1377	221.23	-570.84265	177	0	62	24	0	0	0	0	0	0	0	0	0	0	0	0	0
1385	222.51	-573.78985	71	0	135	31	0	0	0	0	0	0	0	0	0	0	0	0	0
1393	223.79	-576.71055	4	0	245	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1401	225.07	-579.6153	5	0	171	44	0	0	0	0	0	0	0	0	0	0	0	0	0
1409	226.35	-582.2212	97	0	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0
1417	227.63	-584.9619	41	0	124	64	0	0	0	0	0	0	0	0	0	0	0	0	0
1425	228.91	-588.4251	19	0	147	31	0	0	0	0	0	0	0	0	0	0	0	0	0
1433	230.18	-591.4877	29	0	221	9	0	0	0	0	0	0	0	0	0	0	0	0	0
1441	231.47	-594.951	3	0	125	54	0	0	0	0	0	0	0	0	0	0	0	0	0
1449	232.75	-598.9856	60	0	82	42	0	0	0	0	0	0	0	0	0	0	0	0	0
1457	234.03	-602.4342	27	0	163	17	0	0	0	0	0	0	0	0	0	0	0	0	0
1465	235.31	-605.67075	4	0	139	17	0	0	0	0	0	0	0	0	0	0	0	0	0
1473	236.59	-609.19405	7	0	135	42	0	0	0	0	0	0	0	0	0	0	0	0	0
1481	237.87	-612.2341	12	0	209	18	0	0	0	0	0	0	0	0	0	0	0	0	0
1489	239.15	-615.21215	13	0	231	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1497	240.43	-618.28375	6	0	225	8	0	0	0	0	0	0	0	0	0	0	0	0	0
1505	241.71	-621.20705	5	3	108	10	0	0	0	8	0	0	0	0	0	0	0	0	0
1513	242.99	-624.305	35	0	18	19	0	0	0	0	0	0	0	0	0	0	0	0	0
1521	244.27	-627.35595	17	0	142	33	1	0	0	0	0	0	0	0	10	0	0	0	0
1529	245.55	-630.7531	0	0	201	4	0	0	0	0	0	0	0	0	67	0	0	0	0
1537	246.83	-634.7525	0	0	214	0	0	0	0	0	0	0	0	0	46	0	0	0	0
1545	248.11	-638.21245	0	0	195	10	0	0	0	0	0	0	0	0	44	0	0	0	0
1553	249.39	-642.25215	0	0	166	8	0	0	0	0	0	0	0	0	48	0	0	0	0
1561	250.67	-646.3597	0	0	124	6	0	0	0	0	0	0	0	0	131	0	0	0	0
1569	251.95	-650.3394	0	0	145	3	0	0	0	0	0	0	0	0	70	0	0	0	0
1577	253.23	-653.6375	0	0	154	5	0	0	0	0	0	0	0	0	60	0	0	0	0
1585	254.51	-657.84415	0	0	153	3	0	0	0	0	0	0	0	0	41	0	0	0	0
1593	255.79	-662.77385	0	0	138	2	0	0	0	0	0	0	0	0	91	0	0	0	0
1601	257.07	-667.4497	0	0	124	2	0	0	0	0	0	0	0	0	130	0	0	0	0
1609	258.35	-671.85885	0	0	159	3	0	0	0	0	0	0	0	0	53	0	0	0	0
1617	259.63	-676.0177	0	0	96	3	0	0	0	0	0	0	0	0	159	0	0	0	0
1625	261.04	-684.6869	0	0	234	1	0	0	0	0	0	0	0	0	7	0	0	0	0
1633	262.32	-694.1879	0	0	220	0	0	0	0	0	0	0	0	0	6	0	0	0	0
1641	263.6	-700.6171	0	0	244	1	0	0	0	0	0	0	0	0	14	0	0	0	0
1649	264.88	-705.98165	0	0	220	1	0	0	0	0	0	0	0	0	3	0	0	0	0
1657	266.16	-711.7987	0	0	264	0	0	0	0	0	0	0	1	0	5	0	0	0	0
1665	267.44	-718.3409	0	0	71	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1673	268.72	-723.45545	0	0	167	0	0	0	0	0	0	0	0	0	1	0	1	0	0
1681	270	-727.5218	38	0	215	0	0	0	0	0	0	0	0	0	21	0	6	0	0
1689	271.28	-731.9902	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1697	272.56	-736.4558	0	0	191	0	0	0	0	0	0	0	0	0	7	0	0	0	0
1705	273.84	-740.3012	0	0	149	0	0	0	0	0	0	0	1	0	14	0	0	0	0
1713	275.12	-743.2696	0	0	175	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1721	276.4	-746.29225	0	0	246	0	0	0	0	0	0	0	0	0	15	0	0	0	0
1729	277.68	-749.67625	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1737	278.96	-752.97645	0	0	158	0	0	0	0	0	0	0	0	0	9	0	0	0	0
1745	280.24	-756.1336	0	0	257	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1753	281.52	-759.47915	0	0	249	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1761	282.8	-763.02035	0	0	223	0	0	0	0	0	0	0	0	0	17	0	0	0	0
